rollout,init_state_idx,first_divergence_step,recovery_step,relapse_step,outcome,final_signal,grasped_object
0,0,70,167,186,FAILURE,-0.30854167098213764,white_yellow_mug_1
1,1,61,126,155,FAILURE,-0.30181324709325763,white_yellow_mug_1
2,2,63,148,182,FAILURE,-0.2975850058255507,white_yellow_mug_1
3,3,71,150,174,FAILURE,-0.31494226000063685,white_yellow_mug_1
4,4,75,153,177,FAILURE,-0.31918311698034574,white_yellow_mug_1
5,5,82,182,205,FAILURE,-0.3106585374667278,porcelain_mug_1
6,6,29,165,212,FAILURE,-0.22103301112446996,white_yellow_mug_1
7,7,47,159,182,FAILURE,-0.2668484456667256,porcelain_mug_1
8,8,73,147,174,FAILURE,-0.3018899284109453,white_yellow_mug_1
9,9,74,145,166,FAILURE,-0.22188119769232487,white_yellow_mug_1
10,10,73,156,175,FAILURE,-0.28023995051920214,porcelain_mug_1
11,11,56,174,223,FAILURE,-0.267787925920895,white_yellow_mug_1
12,12,74,163,187,FAILURE,-0.29682078081639685,porcelain_mug_1
13,13,73,156,174,FAILURE,-0.2794432608317688,white_yellow_mug_1
14,14,78,168,193,FAILURE,-0.31948354471141094,white_yellow_mug_1
15,15,72,,,FAILURE,-0.24516442501850408,white_yellow_mug_1
16,16,68,137,153,FAILURE,-0.3313130786138589,white_yellow_mug_1
17,17,66,178,200,FAILURE,-0.32250401231077425,porcelain_mug_1
18,18,66,140,160,FAILURE,-0.29899657722388406,white_yellow_mug_1
19,19,74,150,177,FAILURE,-0.29497622858163486,white_yellow_mug_1
20,20,63,143,165,FAILURE,-0.20155383290466183,white_yellow_mug_1
21,21,68,144,160,FAILURE,-0.28726556969821626,porcelain_mug_1
22,22,77,151,174,FAILURE,-0.3382925973797497,white_yellow_mug_1
23,23,63,153,167,FAILURE,-0.33236618596001577,white_yellow_mug_1
24,24,64,132,155,FAILURE,-0.3365608286782545,white_yellow_mug_1
25,25,74,,,FAILURE,-0.25038019979062853,porcelain_mug_1
26,26,73,145,171,FAILURE,-0.2917765837065629,white_yellow_mug_1
27,27,66,152,171,FAILURE,-0.317888099232821,white_yellow_mug_1
28,28,74,157,176,FAILURE,-0.32273990166057376,porcelain_mug_1
29,29,54,142,174,FAILURE,-0.24176294571986337,white_yellow_mug_1
