rollout,init_state_idx,first_divergence_step,recovery_step,relapse_step,outcome,final_signal,grasped_object,num_replans,num_replans_steered,first_steer_step
0,0,68,,,FAILURE,-0.30763385003886257,white_yellow_mug_1,80,63,70
1,1,60,,,FAILURE,-0.3153857993525282,white_yellow_mug_1,80,63,65
2,2,64,,,FAILURE,-0.2812327587082345,white_yellow_mug_1,80,62,65
3,3,67,,,FAILURE,-0.3357365713726994,white_yellow_mug_1,80,62,70
4,4,74,,,FAILURE,-0.2952041904489936,white_yellow_mug_1,80,61,75
