rollout,init_state_idx,first_divergence_step,recovery_step,relapse_step,outcome,final_signal,grasped_object,num_replans,num_replans_steered,first_steer_step
0,0,69,,,FAILURE,-0.31710140534543424,white_yellow_mug_1,80,63,70
1,1,61,,,FAILURE,-0.3067244716315258,white_yellow_mug_1,80,62,65
2,2,63,,,FAILURE,-0.2954536245513514,white_yellow_mug_1,80,62,65
